,accX,accY,accZ,gyroX,gyroY,gyroZ
367,0.039307,-0.060364,1.009949,-19.60754,15.426636,-32.684326
368,0.042297,-0.070496,1.001465,-20.37048,14.450073,-31.242371
369,0.038086,-0.063538,0.991943,-22.17865,12.535095,-30.776978
370,0.043457,-0.0625,1.003235,-23.08654,11.314392,-30.410767
371,0.041016,-0.06366,0.988281,-24.44458,11.627197,-30.220032
372,0.0448,-0.045105,0.987122,-28.51867,9.506226,-29.35791
373,0.042847,-0.060608,1.011169,-30.28106,9.132385,-28.488159
374,0.039978,-0.07196,1.003845,-32.08923,8.491516,-27.740479
375,0.040161,-0.069824,0.99646,-33.90502,7.293701,-26.893616
376,0.040283,-0.092773,0.996948,-34.98077,5.92804,-26.100159
377,0.047119,-0.099548,0.985229,-35.5072,5.249023,-25.413513
378,0.033081,-0.144287,0.953247,-35.33172,5.249023,-24.925232
379,0.023987,-0.129944,0.93866,-30.76934,1.449585,-25.177002
380,0.036865,-0.126587,0.937683,-28.81622,-0.015259,-25.634766
381,0.056335,-0.135315,0.929993,-25.71868,-1.457214,-26.046753
382,0.066895,-0.149414,0.944519,-21.87347,-2.174377,-26.947021
383,0.08905,-0.157104,0.950745,-18.34869,-0.854492,-27.671814
384,0.069702,-0.137146,0.96759,-16.38793,2.906799,-26.817322
385,0.09314,-0.132263,0.931946,-16.82281,5.607605,-25.924683
386,0.072083,-0.147644,0.965332,-18.96667,14.328003,-23.262024
387,0.047424,-0.133423,0.93866,-24.96337,18.15033,-25.291443
388,0.048096,-0.151794,0.981018,-30.36499,20.439148,-29.289246
389,0.053162,-0.153442,0.994324,-33.18023,25.268555,-34.080505
390,0.033997,-0.161926,0.940369,-32.44018,30.952454,-42.953491
391,0.016724,-0.178162,0.978149,-31.10504,31.532288,-47.637939
392,0.000488,-0.174683,0.963928,-28.656,34.080505,-53.81012
393,-0.076904,-0.162048,1.000671,-27.18353,33.973694,-59.967041
394,-0.182434,-0.179565,1.060791,-28.6026,26.96228,-63.484192
395,-0.207581,-0.211182,1.034485,-31.08978,7.652283,-62.62207
396,-0.170593,-0.184875,0.916687,-36.25488,-38.238525,-50.163269
397,-0.279419,-0.077209,0.952759,-32.79113,-43.411255,-50.071716
398,-0.049866,-0.199951,1.018188,-29.83093,-40.161133,-57.945251
399,0.046997,-0.222839,0.965332,-15.69366,-28.060913,-74.279785
